name_unoriented,linking_matrix,components,determinant,matrix_zero,determinant_is_zero,smooth_four_genus,matrix_and_determinant_both_zero
L9n27,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True
L10n32,"{{0, 0}, {0, 0}}",2,0,True,True,0,True
L10n36,"{{0, 0}, {0, 0}}",2,0,True,True,0,True
L10n56,"{{0, 0}, {0, 0}}",2,0,True,True,1,True
L10n57,"{{0, 0}, {0, 0}}",2,0,True,True,0,True
L10n59,"{{0, 0}, {0, 0}}",2,0,True,True,0,True
L10n107,"{{0, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}}",4,0,True,True,0,True
L11n218,"{{0, 0}, {0, 0}}",2,0,True,True,1,True
L11n226,"{{0, 0}, {0, 0}}",2,0,True,True,1,True
L11n244,"{{0, 0}, {0, 0}}",2,0,True,True,1,True
L11n247,"{{0, 0}, {0, 0}}",2,0,True,True,"[0,1]",True
L11n381,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,1,True
L11n396,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True
L11n404,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,1,True
L11n406,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True
L11n436,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True
