,Unnamed: 0.1,Unnamed: 0,name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus,mod32_equivalent,fox_milnor_test
0,0,L12n84,L12n84,0,12,True,2,True,-23,,True,True
1,1,L12n399,L12n399,0,12,True,2,True,-71,,True,True
2,2,L12n418,L12n418,0,12,True,2,True,-71,,True,True
3,5,L12n520,L12n520,0,12,True,2,True,-71,,True,True
4,6,L12n529,L12n529,0,12,True,2,True,-71,,True,True
5,10,L12n817,L12n817,0,12,True,2,True,-95,,True,True
6,11,L12n910,L12n910,0,12,True,2,True,-95,,True,True
7,15,L12n1180,L12n1180,0,12,True,2,True,-63,,True,True
8,16,L12n1181,L12n1181,0,12,True,2,True,-63,,True,True
11,29,L12n1327,L12n1327,0,12,True,2,True,-63,,True,True
14,32,L13n118,L13n118,0,13,True,2,True,-23,,True,True
15,33,L13n754,L13n754,0,13,True,2,True,-119,,True,True
16,34,L13n759,L13n759,0,13,True,2,True,-119,,True,True
17,35,L13n760,L13n760,0,13,True,2,True,-119,,True,True
18,37,L13n1488,L13n1488,0,13,True,2,True,-143,,True,True
19,38,L13n1494,L13n1494,0,13,True,2,True,-143,,True,True
21,40,L13n1704,L13n1704,0,13,True,2,True,-143,,True,True
22,41,L13n1707,L13n1707,0,13,True,2,True,-143,,True,True
28,51,L13n2407,L13n2407,0,13,True,2,True,-119,,True,True
31,56,L13n3056,L13n3056,0,13,True,2,True,-95,,True,True
42,95,L13n6537,L13n6537,0,13,True,2,True,-95,,True,True
43,99,L14n756,L14n756,0,14,True,2,True,-71,,True,True
44,101,L14n1004,L14n1004,0,14,True,2,True,-23,,True,True
45,102,L14n1449,L14n1449,0,14,True,2,True,-71,,True,True
46,105,L14n1639,L14n1639,0,14,True,2,True,-71,,True,True
47,106,L14n6154,L14n6154,0,14,True,2,True,-239,,True,True
48,107,L14n6168,L14n6168,0,14,True,2,True,-71,,True,True
49,109,L14n6558,L14n6558,0,14,True,2,True,-167,,True,True
50,110,L14n6620,L14n6620,0,14,True,2,True,-95,,True,True
51,111,L14n6789,L14n6789,0,14,True,2,True,-95,,True,True
52,112,L14n6832,L14n6832,0,14,True,2,True,-71,,True,True
53,114,L14n7118,L14n7118,0,14,True,2,True,-239,,True,True
54,116,L14n7239,L14n7239,0,14,True,2,True,-143,,True,True
55,118,L14n7360,L14n7360,0,14,True,2,True,-71,,True,True
56,119,L14n7392,L14n7392,0,14,True,2,True,-143,,True,True
57,120,L14n7407,L14n7407,0,14,True,2,True,-239,,True,True
59,124,L14n8183,L14n8183,0,14,True,2,True,-239,,True,True
61,127,L14n8537,L14n8537,0,14,True,2,True,-143,,True,True
62,128,L14n8543,L14n8543,0,14,True,2,True,-239,,True,True
63,131,L14n8736,L14n8736,0,14,True,2,True,-143,,True,True
64,133,L14n8793,L14n8793,0,14,True,2,True,-239,,True,True
65,134,L14n8803,L14n8803,0,14,True,2,True,-167,,True,True
66,135,L14n8810,L14n8810,0,14,True,2,True,1,,True,True
67,136,L14n8835,L14n8835,0,14,True,2,True,-239,,True,True
68,139,L14n9080,L14n9080,0,14,True,2,True,-207,,True,True
69,141,L14n9115,L14n9115,0,14,True,2,True,-207,,True,True
80,183,L14n12145,L14n12145,0,14,True,2,True,-143,,True,True
82,185,L14n12414,L14n12414,0,14,True,2,True,-71,,True,True
83,186,L14n12504,L14n12504,0,14,True,2,True,-143,,True,True
84,187,L14n12538,L14n12538,0,14,True,2,True,-143,,True,True
86,189,L14n12589,L14n12589,0,14,True,2,True,-71,,True,True
87,190,L14n12598,L14n12598,0,14,True,2,True,-143,,True,True
88,192,L14n12691,L14n12691,0,14,True,2,True,-167,,True,True
89,193,L14n12729,L14n12729,0,14,True,2,True,-239,,True,True
90,194,L14n12796,L14n12796,0,14,True,2,True,-167,,True,True
91,195,L14n12805,L14n12805,0,14,True,2,True,-95,,True,True
92,196,L14n12876,L14n12876,0,14,True,2,True,-95,,True,True
93,197,L14n12883,L14n12883,0,14,True,2,True,-119,,True,True
94,198,L14n17869,L14n17869,0,14,True,2,True,-95,,True,True
95,199,L14n18026,L14n18026,0,14,True,2,True,-287,,True,True
96,200,L14n19768,L14n19768,0,14,True,2,True,-287,,True,True
97,201,L14n23729,L14n23729,0,14,True,2,True,-279,,True,True
103,233,L14n28013,L14n28013,0,14,True,2,True,-63,,True,True
104,234,L14n28016,L14n28016,0,14,True,2,True,-63,,True,True
105,236,L14n28630,L14n28630,0,14,True,2,True,-119,,True,True
106,237,L14n28631,L14n28631,0,14,True,2,True,-119,,True,True
107,238,L14n28635,L14n28635,0,14,True,2,True,-119,,True,True
110,243,L14n29289,L14n29289,0,14,True,2,True,-351,,True,True
111,247,L14n30011,L14n30011,0,14,True,2,True,-191,,True,True
112,248,L14n30012,L14n30012,0,14,True,2,True,-191,,True,True
113,252,L14n30097,L14n30097,0,14,True,2,True,-215,,True,True
114,253,L14n30103,L14n30103,0,14,True,2,True,-215,,True,True
115,254,L14n30107,L14n30107,0,14,True,2,True,-215,,True,True
116,256,L14n30116,L14n30116,0,14,True,2,True,-191,,True,True
117,260,L14n30250,L14n30250,0,14,True,2,True,-215,,True,True
118,261,L14n30442,L14n30442,0,14,True,2,True,-215,,True,True
120,267,L14n30755,L14n30755,0,14,True,2,True,9,,True,True
133,333,L14n33395,L14n33395,0,14,True,2,True,-191,,True,True
134,334,L14n33400,L14n33400,0,14,True,2,True,-191,,True,True
135,336,L14n33764,L14n33764,0,14,True,2,True,-191,,True,True
136,337,L14n33772,L14n33772,0,14,True,2,True,-191,,True,True
138,343,L14n34637,L14n34637,0,14,True,2,True,-191,,True,True
141,359,L14n37692,L14n37692,0,14,True,2,True,-159,,True,True
146,370,L14n38362,L14n38362,0,14,True,2,True,-95,,True,True
147,371,L14n38364,L14n38364,0,14,True,2,True,-287,,True,True
148,373,L14n38409,L14n38409,0,14,True,2,True,-287,,True,True
149,374,L14n38410,L14n38410,0,14,True,2,True,-287,,True,True
182,430,L14n52847,L14n52847,0,14,True,3,True,73,,True,True
183,431,L14n52922,L14n52922,0,14,True,3,True,73,,True,True
184,432,L14n52934,L14n52934,0,14,True,3,True,73,,True,True
185,433,L14n53120,L14n53120,0,14,True,3,True,73,,True,True
186,434,L14n53143,L14n53143,0,14,True,3,True,73,,True,True
